Subject	Trial	ID	Stimulus_status	Stimulus_type	Response_type	File_name	English_name	Dutch_name	Other_A	Other_B	List	Compound	Agreement_percentage	DK_percentage	Lg10WF	Familiarity	Visual_complexity	Manipulability	Letters	Non-word	Correct	Response
AH09	32	1	Target	picture	silent	feather03a.jpg	feather	veer	n/a	n/a	1	0	100	0	2,179	3,9	2,5	2,2	4	zouteel.png	1	1
AH09	112	2	Target	picture+word	aloud	microwave.jpg	microwave-oven	magnetron	n/a	n/a	1	0	100	0	2,1761	4,69	2,19	2,97	9	aanstoren.png	1	1
AH09	108	3	Target	picture+word	silent	parrot01.jpg	parrot	papegaai	n/a	n/a	1	0	100	0	2,1614	4,1	3,19	2,18	8	aardapomp.png	1	1
AH09	18	4	Target	picture	aloud	ring01.jpg	ring	ring	n/a	n/a	1	0	100	0	3,3598	4,3	2,2	3,2	4	aardfer.png	1	1
AH09	107	5	Target	picture	silent	iceskate.jpg	iceskate	schaats	n/a	n/a	1	0	100	0	1,4624	4	3	3,1	7	accordelen.png	1	1
AH09	4	6	Target	picture+word	aloud	sewingmachine01a.jpg	sewing-machine	naaimachine	n/a	n/a	1	1	100	0	1,2553	3,9	3,6	2,6	11	afstanijning.png	1	1
AH09	53	7	Target	picture+word	silent	hammer01.jpg	hammer	hamer	n/a	n/a	1	0	100	0	2,574	4,2	2,2	3,8	5	afwasmidijn.png	1	1
AH09	24	8	Target	picture	aloud	cigar.jpg	cigar	sigaar	n/a	n/a	1	0	88	13	2,6345	4,12	1,7	3,91	6	aluminiumker.png	1	1
AH09	101	9	Target	picture	silent	ant.jpg	ant	mier	n/a	n/a	1	0	100	0	2,0492	4,62	2,67	1,65	4	amanfolile.png	1	1
AH09	100	10	Target	picture+word	aloud	pear01.jpg	pear	peer	n/a	n/a	1	0	100	0	1,9445	4,5	2,1	1,5	4	ananijp.png	1	1
AH09	63	11	Target	picture+word	silent	hen.jpg	chicken	kip	n/a	n/a	1	0	100	0	3,2196	4,43	3,12	2,38	3	aner.png	1	1
AH09	37	12	Target	picture	aloud	shower.jpg	shower	douche	n/a	n/a	1	0	100	0	2,9886	4,57	2,69	3,56	6	apijl.png	1	1
AH09	127	13	Target	picture	silent	paperclip03.jpg	paperclip	paperclip	n/a	n/a	1	1	100	0	1,4624	4,5	2	2	9	armbood.png	1	1
AH09	27	14	Target	picture+word	aloud	bridge.jpg	bridge	brug	n/a	n/a	1	0	100	0	3,2851	4,52	2,33	2,21	4	aspercado.png	1	1
AH09	126	15	Target	picture+word	silent	surfboard.jpg	surfboard	surfplank	surfboard	n/a	1	1	50	0	1,5682	3,61	1,85	3,38	9	auboog.png	1	1
AH09	47	16	Target	picture	aloud	barrel01.jpg	barrel	ton	vat	n/a	1	0	75	0	2,7789	4,14	2,07	1,76	3	autel.png	1	1
AH09	86	17	Target	picture	silent	saw02b.jpg	saw	zaag	n/a	n/a	1	0	100	0	2,1931	3,7	2,2	4	4	avocijl.png	1	1
AH09	46	18	Target	picture+word	aloud	corn02.jpg	corn	mais	maiskolf	n/a	1	0	63	0	1,5315	4,81	2,4	3,15	4	bakdpad.png	1	1
AH09	59	19	Target	picture+word	silent	tshirt.jpg	t-shirt	t-shirt	shirt	n/a	1	0	88	0	2,525	4,6	1,7	2,9	7	ballaan.png	1	1
AH09	3	20	Target	picture	aloud	sheep.jpg	sheep	schaap	n/a	n/a	1	0	100	0	2,4579	4,43	2,9	2,09	6	bandoster.png	1	1
AH09	8	21	Target	picture	silent	plate01b.jpg	plate	bord	porcelein	n/a	1	0	88	0	3,0774	4,6	1,7	2,4	4	baneister.png	1	1
AH09	94	22	Target	picture+word	aloud	chessboard.jpg	chessboard	schaakspel	schaakbord	n/a	1	1	63	0	1,4624	4,2	3,8	2,8	10	banoe.png	1	1
